Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Lukasz Fabianski,Goalkeeper,10,1,21,,,,,,,,,,,,,,,0,0,0,194,19.40,,,,,57,0,0,0,,0,,,,,,,,,,,,33,0,5,8,1,0,44,56
Fabinho,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Fábio Carvalho,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Fábio Silva,Forward,8,,,7,,,1,2,0,0,,,,,,,,,,0,75,9.38,0,0,,,,2,0,8,5,0,0,0,0,0,0.00,0,0,7,3,43%,2,,,,,,,,
Fábio Vieira,Midfielder,11,,,3,67%,,1,2,1,0,,16,16,18,2,1,0,,0,2,134,12.18,2,15,20%,3,4,0,1,8,2,1,0,0,1,0,0.09,1,0,7,2,29%,0,,,,,,,,
Malachi Fagan-Walcott,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Romain Faivre,Midfielder,5,,,1,100%,,1,0,0,0,,1,7,10,2,0,1,,0,0,23,4.60,0,3,0%,0,0,1,0,2,0,0,0,0,0,0,0.00,0,0,2,0,0%,0,,,,,,,,
Ansu Fati,Forward,19,,,5,,,12,3,3,1,,,,,,,,,,0,204,10.74,1,3,,,,2,0,6,2,2,0,1,1,0,0.11,0,0,26,11,42%,4,,,,,,,,
Josh Feeney,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Felipe,Defender,7,1,10,12,75%,0,2,4,11,6,0,20,29,21,1,14,6,0,0,0,213,30.43,0,0,0%,0,13,4,0,10,0,0,0,0,0,1,,,,,,,,,,,,,,,
Evan Ferguson,Forward,27,,,14,,,4,2,8,5,,,,,,,,,,0,300,11.11,1,1,,,,1,0,24,5,6,0,4,2,2,0.22,0,0,33,20,61%,4,,,,,,,,
Enzo Fernández,Midfielder,28,,,50,44%,,12,17,26,9,,122,125,135,23,21,23,,0,2,"1,795",64.11,5,45,20%,21,129,7,0,33,4,3,1,2,0,3,0.11,1,0,47,16,34%,6,,,,,,,,
Will Fish,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
John Fleck,Midfielder,4,,,1,0%,,0,0,1,1,,5,5,10,0,2,7,,0,0,40,10.00,1,0,0%,1,1,1,0,2,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Mark Flekken,Goalkeeper,37,7,63,,,,,,,,,,,,,,,0,1,1,"1,446",39.08,,,,,321,3,0,2,,0,,,,,,,,,,,,115,0,23,40,1,17,131,289
Phil Foden,Midfielder,35,,,31,65%,,41,13,16,7,,127,144,143,47,6,17,,0,8,"1,670",47.71,10,89,21%,15,42,2,0,14,5,19,1,1,17,1,0.54,0,2,105,48,46%,7,,,,,,,,
Wes Foderingham,Goalkeeper,30,1,79,,,,,,,,,,,,,,,1,5,0,943,31.43,,,,,228,2,0,1,,0,,,,,,,,,,,,133,0,11,26,5,28,101,262
David Datro Fofana,Forward,15,,,10,,,2,1,2,2,,,,,,,,,,1,168,11.20,3,3,,,,1,0,17,9,4,1,3,0,0,0.27,0,0,19,10,53%,5,,,,,,,,
Michael Forbes,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Tyrese Fornah,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Pablo Fornals,Midfielder,15,,,10,60%,,0,6,5,0,,26,24,33,6,3,7,,0,0,200,13.33,1,8,13%,0,11,0,0,3,1,0,0,0,0,0,0.00,0,0,7,3,43%,0,,,,,,,,
Omari Forson,Midfielder,4,,,2,0%,,1,0,0,0,,2,3,4,1,0,2,,0,1,33,8.25,1,0,0%,0,0,0,0,1,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
Fraser Forster,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Lyle Foster,Forward,24,,,19,,,4,3,33,21,,,,,,,,,,3,452,18.83,1,3,,,,0,1,24,14,5,0,3,2,0,0.21,0,0,34,17,50%,6,,,,,,,,
